YEAR,MAX,MIN,AVERAGE
1995,1,1,1
1996,1,1,1
1997,27,1,8.8
1998,5456,38,2948.5
1999,24100,5327,10052.1
2000,30004,17706,22342.7
2001,21601,18990,18940.2
2002,24106,16474,18990
2003,27045,19632,22939.8
2004,25860,18265,22636.9
2005,27848,19313,23427
2006,24511,10661,18165.5
2007,31255,15239,19369.1
2008,18981,14864,16576.3
2009,19326,14409,16853.5
2010,17032,13869,15231.6
2011,19540,13569,15840.2
2012,47685,15072,20111
2013,52130,33199,39718.5
2014,73931,34231,50124
2015,77618,54448,62531.7
